name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
中尾 優香,5192,1 コース,42,10,23.8,38.1,45.2,0.18,3.6
中尾 優香,5192,2 コース,80,6,7.5,22.5,30.0,0.18,3.5
中尾 優香,5192,3 コース,79,1,1.2,11.3,27.8,0.19,3.6
中尾 優香,5192,4 コース,104,7,6.7,12.5,20.1,0.15,3.0
中尾 優香,5192,5 コース,128,1,0.7,6.2,17.1,0.17,3.1
中尾 優香,5192,6 コース,209,1,0.4,1.4,4.3,0.19,4.0
