name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
中島 昂章,4661,1 号艇,318,123,38.6,63.8,76.4,0,0
中島 昂章,4661,2 号艇,406,38,9.3,39.1,60.1,0,0
中島 昂章,4661,3 号艇,420,27,6.4,30.2,53.8,2,0
中島 昂章,4661,4 号艇,478,21,4.3,19.6,40.7,3,0
中島 昂章,4661,5 号艇,526,10,1.9,12.1,29.4,2,0
中島 昂章,4661,6 号艇,539,3,0.5,9.6,26.3,9,0
