name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
樫葉 新心,5334,女子戦,181,3,2.4,1.6,2.2,10.5,0.22,4.3
樫葉 新心,5334,混合戦,162,0,1.8,0.0,1.8,4.9,0.21,4.7
