name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
竹井 貴史,4737,桐生,4,38,10,6.24,26.3,44.7,63.1,1,0,0.19
竹井 貴史,4737,戸田,7,69,23,6.74,33.3,56.5,69.5,2,0,0.16
竹井 貴史,4737,江戸川,8,69,15,5.67,21.7,36.2,55.0,1,1,0.18
竹井 貴史,4737,平和島,5,43,16,6.88,37.2,58.1,67.4,3,0,0.16
竹井 貴史,4737,多摩川,8,63,17,6.29,26.9,49.2,60.3,3,0,0.16
竹井 貴史,4737,浜名湖,6,55,11,5.82,20.0,36.3,54.5,1,0,0.16
竹井 貴史,4737,蒲郡,8,74,17,5.89,22.9,47.3,59.4,2,0,0.17
竹井 貴史,4737,常滑,9,66,13,5.55,19.7,31.8,54.5,3,0,0.19
竹井 貴史,4737,津,9,95,27,6.6,28.4,49.4,68.4,4,0,0.17
竹井 貴史,4737,三国,7,61,16,6.52,26.2,49.1,60.6,1,1,0.14
竹井 貴史,4737,びわこ,5,48,14,7.21,29.1,60.4,75.0,4,1,0.16
竹井 貴史,4737,住之江,7,61,17,6.15,27.8,45.9,60.6,3,1,0.16
竹井 貴史,4737,尼崎,8,73,14,5.66,19.1,34.2,54.7,1,0,0.17
竹井 貴史,4737,鳴門,6,47,12,5.89,25.5,38.3,63.8,0,0,0.18
竹井 貴史,4737,丸亀,8,72,15,5.83,20.8,43.0,59.7,2,0,0.17
竹井 貴史,4737,児島,8,73,12,6.14,16.4,41.1,68.4,3,0,0.17
竹井 貴史,4737,宮島,10,83,15,5.02,18.0,33.7,48.1,1,0,0.16
竹井 貴史,4737,徳山,12,116,25,5.97,21.5,41.3,65.5,3,1,0.17
竹井 貴史,4737,下関,11,95,27,5.48,28.4,37.8,50.5,1,0,0.18
竹井 貴史,4737,若松,66,598,131,5.75,21.9,41.3,56.3,10,2,0.16
竹井 貴史,4737,芦屋,23,204,44,5.45,21.5,32.8,53.4,3,0,0.16
竹井 貴史,4737,福岡,29,268,71,6.3,26.4,48.5,63.4,8,4,0.16
竹井 貴史,4737,唐津,11,103,21,5.94,20.3,42.7,58.2,1,0,0.14
竹井 貴史,4737,大村,15,121,20,5.58,16.5,34.7,52.8,2,0,0.17
