name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
清水 未唯,5171,女子戦,398,25,3.81,6.2,16.0,28.6,0.17,3.1
清水 未唯,5171,混合戦,293,9,2.51,3.0,7.1,12.9,0.18,3.5
