name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
松竹 大輔,4442,1 コース,574,297,51.7,68.4,78.7,0.16,2.8
松竹 大輔,4442,2 コース,584,111,19.0,39.3,56.6,0.18,3.6
松竹 大輔,4442,3 コース,594,99,16.6,31.8,52.5,0.17,3.2
松竹 大輔,4442,4 コース,590,60,10.1,28.4,45.9,0.18,3.5
松竹 大輔,4442,5 コース,641,48,7.4,22.0,39.6,0.18,3.6
松竹 大輔,4442,6 コース,661,22,3.3,11.5,27.8,0.2,4.1
