name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
中川 りな,4773,女子戦,1597,242,5.11,15.1,30.6,47.4,0.18,3.4
中川 りな,4773,混合戦,590,53,4.06,8.9,21.1,34.4,0.17,3.4
