name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
本田 愛,5248,女子戦,259,10,3.29,3.8,13.9,23.9,0.22,3.9
本田 愛,5248,混合戦,236,12,3.09,5.0,13.9,22.0,0.19,3.8
