name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
滝川 真由子,4499,女子戦,1656,312,5.56,18.8,37.3,55.0,0.18,3.3
滝川 真由子,4499,混合戦,719,71,4.1,9.8,20.5,33.6,0.19,3.5
