name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
堀之内 紀代子,4011,女子戦,4114,992,6.03,24.1,43.8,60.4,0.18,3.1
堀之内 紀代子,4011,混合戦,1345,182,4.63,13.5,26.8,40.9,0.19,3.3
