name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
北村 寧々,5195,女子戦,443,37,4.27,8.3,20.5,37.2,0.17,3.2
北村 寧々,5195,混合戦,261,7,2.54,2.6,6.1,14.5,0.18,3.5
