name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
三嶌 さらら,5326,女子戦,132,0,2.23,0.0,3.0,6.8,0.18,3.7
三嶌 さらら,5326,混合戦,158,2,1.96,1.2,2.5,7.5,0.18,4.0
