name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
山口 達也,4370,1 コース,859,575,66.9,80.5,86.7,0.15,2.8
山口 達也,4370,2 コース,660,177,26.8,56.3,68.1,0.16,3.2
山口 達也,4370,3 コース,656,180,27.4,52.1,68.7,0.16,3.1
山口 達也,4370,4 コース,754,169,22.4,46.1,64.8,0.17,3.2
山口 達也,4370,5 コース,678,99,14.6,29.7,48.0,0.17,3.2
山口 達也,4370,6 コース,601,39,6.4,18.9,37.4,0.18,3.5
