name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
冨名腰 桃奈,5117,女子戦,491,32,3.77,6.5,18.7,31.7,0.19,3.7
冨名腰 桃奈,5117,混合戦,307,9,2.5,2.9,8.7,14.9,0.2,4.0
