name,regno,艇番,出走数,1 コース,2 コース,3 コース,4 コース,5 コース,6 コース,その他
益田 訓夫,2006,1 号艇,125,50,22,9,22,20,2,0
益田 訓夫,2006,2 号艇,123,6,40,17,24,28,8,0
益田 訓夫,2006,3 号艇,132,2,18,32,28,41,11,0
益田 訓夫,2006,4 号艇,126,1,6,18,36,44,20,1
益田 訓夫,2006,5 号艇,133,0,0,7,26,63,37,0
益田 訓夫,2006,6 号艇,128,0,1,8,13,49,57,0
