name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
倉田 郁美,3518,1 号艇,799,211,26.4,44.5,59.5,4,2
倉田 郁美,3518,2 号艇,819,134,16.3,38.4,57.2,3,0
倉田 郁美,3518,3 号艇,816,121,14.8,35.4,54.7,9,0
倉田 郁美,3518,4 号艇,780,117,15.0,31.5,49.6,10,0
倉田 郁美,3518,5 号艇,770,73,9.4,26.1,44.9,17,1
倉田 郁美,3518,6 号艇,742,49,6.6,16.4,37.8,10,0
