name,regno,艇番,出走数,1 コース,2 コース,3 コース,4 コース,5 コース,6 コース,その他
柾田 敏行,2883,1 号艇,631,558,34,14,8,8,8,1
柾田 敏行,2883,2 号艇,654,56,474,72,25,10,17,0
柾田 敏行,2883,3 号艇,676,10,68,451,79,34,34,0
柾田 敏行,2883,4 号艇,626,3,25,86,374,90,48,0
柾田 敏行,2883,5 号艇,626,6,17,40,110,352,101,0
柾田 敏行,2883,6 号艇,610,5,15,36,80,129,345,0
