name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
永井 聖美,3993,女子戦,3520,963,6.28,27.3,47.2,62.7,0.18,3.0
永井 聖美,3993,混合戦,1349,190,4.74,14.0,27.9,42.7,0.19,3.3
