name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
梅崎 恵美,4454,女子戦,578,15,2.85,2.6,7.4,17.8,0.23,4.0
梅崎 恵美,4454,混合戦,209,3,1.89,1.4,2.3,6.2,0.23,4.1
