name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
薮内 瑞希,4909,桐生,5,44,6,4.55,13.6,15.9,38.6,0,0,0.17
薮内 瑞希,4909,戸田,10,81,7,4.68,8.6,22.2,44.4,0,0,0.16
薮内 瑞希,4909,江戸川,9,86,17,5.6,19.7,38.3,55.8,1,0,0.19
薮内 瑞希,4909,平和島,6,56,6,4.64,10.7,30.3,37.5,0,0,0.16
薮内 瑞希,4909,多摩川,5,45,8,4.6,17.7,24.4,35.5,0,0,0.16
薮内 瑞希,4909,浜名湖,5,37,3,3.32,8.1,13.5,24.3,0,0,0.2
薮内 瑞希,4909,蒲郡,4,34,5,4.35,14.7,20.5,35.2,0,0,0.19
薮内 瑞希,4909,常滑,10,82,9,4.61,10.9,23.1,42.6,0,0,0.18
薮内 瑞希,4909,津,4,38,5,4.92,13.1,23.6,39.4,0,0,0.13
薮内 瑞希,4909,三国,7,56,5,4.41,8.9,25.0,41.0,0,0,0.16
薮内 瑞希,4909,びわこ,10,86,6,4.31,6.9,18.6,36.0,0,0,0.18
薮内 瑞希,4909,住之江,9,74,10,5.09,13.5,32.4,45.9,1,0,0.16
薮内 瑞希,4909,尼崎,9,81,15,5.35,18.5,33.3,51.8,1,0,0.17
薮内 瑞希,4909,鳴門,8,65,3,4.03,4.6,16.9,32.3,0,0,0.16
薮内 瑞希,4909,丸亀,11,94,10,4.0,10.6,19.1,31.9,1,0,0.16
薮内 瑞希,4909,児島,30,262,23,4.15,8.7,23.2,35.8,1,0,0.15
薮内 瑞希,4909,宮島,9,81,9,4.25,11.1,24.6,32.1,0,0,0.16
薮内 瑞希,4909,徳山,8,63,3,3.56,4.7,15.8,30.1,0,0,0.15
薮内 瑞希,4909,下関,7,62,6,4.06,9.6,22.5,33.8,0,0,0.16
薮内 瑞希,4909,若松,5,46,3,3.76,6.5,19.5,30.4,0,0,0.16
薮内 瑞希,4909,芦屋,7,54,3,3.81,5.5,11.1,24.0,0,0,0.17
薮内 瑞希,4909,福岡,9,77,6,3.97,7.7,20.7,29.8,1,0,0.15
薮内 瑞希,4909,唐津,12,108,11,4.07,10.1,18.5,32.4,1,0,0.16
薮内 瑞希,4909,大村,11,95,10,4.45,10.5,23.1,42.1,0,0,0.15
