name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
宮脇 遼太,5158,1 号艇,80,46,57.5,68.7,72.5,0,0
宮脇 遼太,5158,2 号艇,107,17,15.8,30.8,50.4,1,0
宮脇 遼太,5158,3 号艇,114,12,10.5,21.9,36.8,0,0
宮脇 遼太,5158,4 号艇,154,18,11.6,20.7,35.7,2,0
宮脇 遼太,5158,5 号艇,200,10,5.0,11.5,21.5,0,0
宮脇 遼太,5158,6 号艇,270,3,1.1,6.3,12.2,3,0
