name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
松村 康太,4210,1 号艇,1054,509,48.2,70.9,83.8,12,5
松村 康太,4210,2 号艇,913,181,19.8,44.8,67.4,19,1
松村 康太,4210,3 号艇,966,139,14.3,36.4,65.0,18,0
松村 康太,4210,4 号艇,972,101,10.3,31.2,59.8,24,1
松村 康太,4210,5 号艇,847,39,4.6,21.9,48.4,24,0
松村 康太,4210,6 号艇,868,54,6.2,21.5,46.8,27,0
