name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
井手 晴美,3195,女子戦,1574,99,4.44,6.2,20.2,39.9,0.21,3.2
井手 晴美,3195,混合戦,1657,73,3.81,4.4,13.1,30.2,0.21,3.3
