name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
森 世里,4605,女子戦,663,55,4.11,8.3,19.9,33.7,0.2,3.7
森 世里,4605,混合戦,348,8,2.76,2.3,8.0,16.0,0.19,3.8
