name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
土屋 実沙希,4730,女子戦,1558,303,5.58,19.4,38.1,55.8,0.16,2.9
土屋 実沙希,4730,混合戦,559,61,4.06,10.9,20.0,34.5,0.18,3.4
