name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
下野 京香,4993,女子戦,580,35,3.0,6.0,12.0,21.2,0.21,3.8
下野 京香,4993,混合戦,200,2,1.77,1.0,4.5,6.0,0.21,4.0
