name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
長田 光子,3117,女子戦,2044,105,4.11,5.1,15.9,35.0,0.26,4.3
長田 光子,3117,混合戦,1606,67,3.37,4.1,11.0,23.5,0.26,4.2
