name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
山下 友貴,4464,女子戦,2610,436,5.56,16.7,36.2,55.5,0.18,3.2
山下 友貴,4464,混合戦,771,76,4.43,9.8,22.7,39.9,0.18,3.4
