name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
宮崎 つぐみ,5202,女子戦,298,20,3.61,6.7,12.7,28.8,0.17,3.2
宮崎 つぐみ,5202,混合戦,206,3,2.23,1.4,4.8,10.1,0.19,4.0
