name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
安岐 奈緒子,3913,女子戦,1090,146,5.07,13.3,31.4,49.4,0.24,3.6
安岐 奈緒子,3913,混合戦,438,27,3.97,6.1,16.4,32.8,0.25,4.1
