name,regno,コース,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ
青木 蓮,5220,1 コース,72,39,37,0,0,0,2,0
青木 蓮,5220,2 コース,88,19,0,4,12,0,3,0
青木 蓮,5220,3 コース,90,19,0,0,14,3,2,0
青木 蓮,5220,4 コース,122,16,0,1,7,8,0,0
青木 蓮,5220,5 コース,130,7,0,0,2,4,1,0
青木 蓮,5220,6 コース,211,5,0,0,3,0,2,0
