name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
塩崎 桐加,4589,女子戦,1544,324,5.79,20.9,40.6,58.1,0.17,3.2
塩崎 桐加,4589,混合戦,745,87,4.36,11.6,24.8,38.3,0.19,3.6
