name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
木村 紗友希,4317,1 コース,443,117,26.4,46.7,56.2,0.18,3.0
木村 紗友希,4317,2 コース,503,55,10.9,29.0,45.1,0.2,3.5
木村 紗友希,4317,3 コース,506,42,8.3,22.3,40.9,0.18,3.1
木村 紗友希,4317,4 コース,521,44,8.4,21.8,39.3,0.18,3.1
木村 紗友希,4317,5 コース,556,21,3.7,12.0,25.3,0.18,3.2
木村 紗友希,4317,6 コース,675,8,1.1,5.4,14.2,0.18,3.3
