name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
生田 波美音,5094,女子戦,408,41,4.34,10.0,24.0,39.9,0.18,3.4
生田 波美音,5094,混合戦,225,10,2.99,4.4,8.8,19.1,0.19,3.9
