name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
倉田 郁美,3518,女子戦,3229,555,5.64,17.1,36.6,56.2,0.21,3.4
倉田 郁美,3518,混合戦,1454,147,4.48,10.1,23.2,39.0,0.22,3.7
