name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
田邉 亮蔵,4995,桐生,13,97,5,3.18,5.1,11.3,20.6,0,0,0.19
田邉 亮蔵,4995,戸田,11,76,4,3.05,5.2,9.2,23.6,0,0,0.19
田邉 亮蔵,4995,江戸川,26,212,22,4.42,10.3,25.0,37.7,1,0,0.2
田邉 亮蔵,4995,平和島,27,221,19,3.78,8.6,18.5,31.6,0,0,0.17
田邉 亮蔵,4995,多摩川,13,100,6,3.86,6.0,14.0,38.0,0,0,0.18
田邉 亮蔵,4995,浜名湖,5,32,1,3.06,3.1,9.3,25.0,0,0,0.21
田邉 亮蔵,4995,蒲郡,7,53,0,2.02,0.0,1.8,9.4,0,0,0.21
田邉 亮蔵,4995,常滑,8,45,2,2.78,4.4,8.8,17.7,0,0,0.21
田邉 亮蔵,4995,津,8,54,2,2.35,3.7,9.2,12.9,0,0,0.19
田邉 亮蔵,4995,三国,7,61,0,2.98,0.0,6.5,22.9,0,0,0.18
田邉 亮蔵,4995,びわこ,4,35,4,4.23,11.4,28.5,31.4,0,0,0.19
田邉 亮蔵,4995,住之江,5,34,1,4.09,2.9,17.6,41.1,0,0,0.15
田邉 亮蔵,4995,尼崎,5,39,4,3.77,10.2,17.9,25.6,0,0,0.18
田邉 亮蔵,4995,鳴門,3,23,2,3.83,8.7,26.0,30.4,0,0,0.17
田邉 亮蔵,4995,丸亀,7,50,4,3.56,8.0,16.0,30.0,0,0,0.17
田邉 亮蔵,4995,児島,2,19,0,4.11,0.0,21.0,31.5,0,0,0.22
田邉 亮蔵,4995,宮島,1,10,2,2.9,20.0,20.0,20.0,0,0,0.16
田邉 亮蔵,4995,徳山,3,29,4,4.21,13.7,20.6,34.4,0,0,0.21
田邉 亮蔵,4995,下関,3,26,0,3.65,0.0,3.8,19.2,0,0,0.17
田邉 亮蔵,4995,若松,1,9,0,3.22,0.0,0.0,22.2,0,0,0.19
田邉 亮蔵,4995,芦屋,4,28,3,4.43,10.7,21.4,32.1,0,0,0.18
田邉 亮蔵,4995,福岡,4,33,1,4.06,3.0,18.1,33.3,0,0,0.2
田邉 亮蔵,4995,唐津,4,33,5,4.21,15.1,24.2,30.3,0,0,0.2
田邉 亮蔵,4995,大村,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
