name,regno,コース,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ
長谷川 雅和,4580,1 コース,497,310,288,0,0,0,21,1
長谷川 雅和,4580,2 コース,482,74,0,55,10,0,7,2
長谷川 雅和,4580,3 コース,484,76,0,4,34,28,10,0
長谷川 雅和,4580,4 コース,538,59,0,4,31,18,5,1
長谷川 雅和,4580,5 コース,644,44,0,3,10,29,1,1
長谷川 雅和,4580,6 コース,780,22,0,4,7,8,3,0
