name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
深見 康司,2529,桐生,8,60,3,3.55,5.0,11.6,25.0,0,0,0.22
深見 康司,2529,戸田,6,47,4,3.74,8.5,17.0,29.7,0,0,0.2
深見 康司,2529,江戸川,2,14,1,3.57,7.1,14.2,21.4,0,0,0.27
深見 康司,2529,平和島,6,38,0,3.74,0.0,7.8,34.2,0,0,0.24
深見 康司,2529,多摩川,9,66,7,4.39,10.6,21.2,37.8,0,0,0.19
深見 康司,2529,浜名湖,7,58,5,4.24,8.6,20.6,36.2,0,0,0.22
深見 康司,2529,蒲郡,12,97,9,4.12,9.2,19.5,36.0,0,0,0.24
深見 康司,2529,常滑,14,134,9,4.07,6.7,20.1,35.8,0,0,0.26
深見 康司,2529,津,9,78,5,3.94,6.4,17.9,30.7,0,0,0.2
深見 康司,2529,三国,6,43,3,4.35,6.9,20.9,44.1,0,0,0.23
深見 康司,2529,びわこ,6,46,3,4.33,6.5,19.5,41.3,0,0,0.22
深見 康司,2529,住之江,5,39,2,4.18,5.1,15.3,43.5,0,0,0.15
深見 康司,2529,尼崎,3,22,0,4.14,0.0,27.2,31.8,0,0,0.23
深見 康司,2529,鳴門,3,20,1,3.6,5.0,20.0,30.0,0,0,0.27
深見 康司,2529,丸亀,3,28,2,4.46,7.1,21.4,35.7,0,0,0.23
深見 康司,2529,児島,3,25,4,4.84,16.0,28.0,44.0,1,0,0.23
深見 康司,2529,宮島,3,22,2,4.14,9.0,31.8,31.8,0,0,0.18
深見 康司,2529,徳山,1,10,1,4.2,10.0,20.0,40.0,0,0,0.28
深見 康司,2529,下関,4,29,3,4.24,10.3,17.2,41.3,0,0,0.21
深見 康司,2529,若松,5,47,3,4.02,6.3,21.2,29.7,0,0,0.25
深見 康司,2529,芦屋,5,50,3,3.44,6.0,10.0,24.0,0,0,0.25
深見 康司,2529,福岡,2,18,2,4.22,11.1,22.2,33.3,0,0,0.23
深見 康司,2529,唐津,6,45,3,3.44,6.6,20.0,22.2,0,0,0.28
深見 康司,2529,大村,6,44,3,4.0,6.8,11.3,36.3,0,0,0.24
