name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
川田 久子,3479,1 コース,145,24,16.5,41.3,55.1,0.22,3.6
川田 久子,3479,2 コース,205,50,24.3,43.9,59.5,0.23,3.3
川田 久子,3479,3 コース,270,61,22.5,44.0,60.7,0.22,3.2
川田 久子,3479,4 コース,247,39,15.7,33.2,52.2,0.23,3.4
川田 久子,3479,5 コース,303,29,9.5,22.7,39.6,0.23,3.5
川田 久子,3479,6 コース,325,12,3.6,11.3,23.6,0.25,4.0
