name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
梅内 駿佑,4609,桐生,7,45,0,2.4,0.0,2.2,11.1,0,0,0.24
梅内 駿佑,4609,戸田,6,43,0,2.21,0.0,0.0,16.2,0,0,0.2
梅内 駿佑,4609,江戸川,23,195,11,3.83,5.6,14.8,32.8,0,0,0.22
梅内 駿佑,4609,平和島,11,85,3,2.79,3.5,7.0,20.0,0,0,0.2
梅内 駿佑,4609,多摩川,13,105,4,2.93,3.8,5.7,19.0,0,0,0.22
梅内 駿佑,4609,浜名湖,6,36,0,1.89,0.0,2.7,5.5,0,0,0.25
梅内 駿佑,4609,蒲郡,9,67,0,2.67,0.0,1.4,17.9,0,0,0.2
梅内 駿佑,4609,常滑,5,31,0,2.39,0.0,3.2,16.1,0,0,0.23
梅内 駿佑,4609,津,4,31,2,2.84,6.4,6.4,12.9,0,0,0.17
梅内 駿佑,4609,三国,1,9,0,2.22,0.0,0.0,11.1,0,0,0.29
梅内 駿佑,4609,びわこ,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,住之江,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,尼崎,1,9,1,4.22,11.1,22.2,44.4,0,0,0.2
梅内 駿佑,4609,鳴門,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,丸亀,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,児島,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,宮島,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,徳山,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,下関,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,若松,1,6,0,2.67,0.0,16.6,16.6,0,0,0.2
梅内 駿佑,4609,芦屋,1,8,0,2.75,0.0,12.5,12.5,0,0,0.23
梅内 駿佑,4609,福岡,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,唐津,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
梅内 駿佑,4609,大村,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
