name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
中村 魁生,4967,1 コース,239,142,59.4,74.0,82.0,0.15,3.0
中村 魁生,4967,2 コース,225,44,19.5,46.6,64.4,0.15,3.1
中村 魁生,4967,3 コース,233,33,14.1,43.3,63.9,0.15,2.9
中村 魁生,4967,4 コース,262,39,14.8,32.8,53.0,0.13,2.6
中村 魁生,4967,5 コース,312,23,7.3,25.0,49.0,0.14,2.9
中村 魁生,4967,6 コース,453,16,3.5,11.0,27.5,0.16,3.2
