name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
赤澤 文香,4098,女子戦,2565,245,4.7,9.5,25.3,43.3,0.2,3.6
赤澤 文香,4098,混合戦,972,41,3.68,4.2,14.2,29.0,0.2,3.8
