name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
田畑 和義,2824,1 コース,431,112,25.9,47.1,61.7,0.2,3.0
田畑 和義,2824,2 コース,476,77,16.1,37.6,56.9,0.22,3.4
田畑 和義,2824,3 コース,336,52,15.4,31.8,45.8,0.22,3.3
田畑 和義,2824,4 コース,331,63,19.0,31.4,48.9,0.21,3.1
田畑 和義,2824,5 コース,204,18,8.8,18.1,30.8,0.23,3.5
田畑 和義,2824,6 コース,123,4,3.2,10.5,20.3,0.26,4.4
