name,regno,コース,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ
石田 栄章,1942,1 コース,633,143,103,1,0,0,37,2
石田 栄章,1942,2 コース,700,132,0,87,20,0,23,2
石田 栄章,1942,3 コース,429,51,0,25,7,9,9,1
石田 栄章,1942,4 コース,195,16,0,9,0,2,5,0
石田 栄章,1942,5 コース,83,5,0,4,0,1,0,0
石田 栄章,1942,6 コース,64,3,0,1,0,1,1,0
