name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
土屋 南,4964,女子戦,912,198,5.82,21.7,40.3,57.8,0.15,2.8
土屋 南,4964,混合戦,485,62,4.49,12.7,25.5,38.9,0.15,3.0
