name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
神里 琴音,5203,女子戦,492,36,3.83,7.3,19.1,32.1,0.17,3.0
神里 琴音,5203,混合戦,356,8,2.6,2.2,10.1,17.4,0.18,3.6
