name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
萩原 善行,3376,桐生,80,646,49,4.36,7.5,22.6,38.7,0,0,0.24
萩原 善行,3376,戸田,35,283,28,4.47,9.8,24.7,39.9,1,0,0.22
萩原 善行,3376,江戸川,56,472,79,4.92,16.7,33.4,44.0,1,0,0.24
萩原 善行,3376,平和島,36,303,27,4.41,8.9,24.4,41.5,0,0,0.23
萩原 善行,3376,多摩川,34,277,24,4.13,8.6,19.4,32.4,0,0,0.23
萩原 善行,3376,浜名湖,31,251,17,4.19,6.7,19.9,34.2,1,0,0.24
萩原 善行,3376,蒲郡,30,254,23,4.53,9.0,24.8,43.7,0,0,0.25
萩原 善行,3376,常滑,30,224,18,4.14,8.0,20.0,35.2,0,0,0.25
萩原 善行,3376,津,17,132,11,3.75,8.3,14.3,28.0,0,0,0.25
萩原 善行,3376,三国,31,236,14,4.09,5.9,19.0,36.0,0,0,0.25
萩原 善行,3376,びわこ,17,137,9,3.84,6.5,14.6,32.1,0,0,0.23
萩原 善行,3376,住之江,12,94,7,3.98,7.4,18.0,30.8,0,0,0.23
萩原 善行,3376,尼崎,21,173,9,3.94,5.2,13.8,31.2,0,0,0.24
萩原 善行,3376,鳴門,15,119,14,4.39,11.7,21.8,36.9,1,0,0.24
萩原 善行,3376,丸亀,18,160,15,4.5,9.3,24.3,40.0,1,0,0.22
萩原 善行,3376,児島,14,115,11,3.95,9.5,17.3,33.0,1,0,0.26
萩原 善行,3376,宮島,13,111,10,3.8,9.0,16.2,31.5,0,0,0.26
萩原 善行,3376,徳山,12,103,9,4.53,8.7,22.3,43.6,0,0,0.24
萩原 善行,3376,下関,13,114,6,4.54,5.2,21.9,42.1,1,0,0.24
萩原 善行,3376,若松,16,121,7,4.06,5.7,16.5,36.3,0,0,0.24
萩原 善行,3376,芦屋,11,89,5,4.12,5.6,15.7,33.7,0,0,0.24
萩原 善行,3376,福岡,16,125,14,4.24,11.2,20.8,36.0,0,0,0.24
萩原 善行,3376,唐津,10,88,6,3.69,6.8,11.3,27.2,0,0,0.24
萩原 善行,3376,大村,12,97,15,4.67,15.4,28.8,42.2,1,0,0.24
