name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
江藤 敦宏,5131,1 コース,66,16,24.2,34.8,45.4,0.16,3.0
江藤 敦宏,5131,2 コース,116,3,2.5,18.1,34.4,0.2,4.3
江藤 敦宏,5131,3 コース,115,1,0.8,6.0,18.2,0.17,3.6
江藤 敦宏,5131,4 コース,111,5,4.5,9.9,18.9,0.18,3.5
江藤 敦宏,5131,5 コース,140,1,0.7,4.2,13.5,0.19,3.7
江藤 敦宏,5131,6 コース,285,1,0.3,1.0,4.9,0.19,3.9
