name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
濱西 惠美,3383,女子戦,175,13,4.05,7.4,24.0,35.4,0.26,3.7
濱西 惠美,3383,混合戦,165,8,3.43,4.8,12.1,27.2,0.27,4.0
