name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
三松 直美,3943,女子戦,2513,270,4.66,10.7,25.4,42.1,0.19,3.2
三松 直美,3943,混合戦,1057,80,3.72,7.5,15.4,27.7,0.19,3.3
