name,regno,グレード,出走数,1着,2着,3着,4着,5着,6着,S0,S1,S2,F,L0,L1,K0,K1
打越 晶,3379,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打越 晶,3379,G1,589,49,83,95,108,109,136,0,5,2,1,0,0,0,1
打越 晶,3379,G2,8,0,0,0,3,0,5,0,0,0,0,0,0,0,0
打越 晶,3379,G3,179,35,42,27,32,28,15,0,0,0,0,0,0,0,0
打越 晶,3379,一般,5109,1290,1206,892,786,535,375,13,14,2,7,0,0,5,2
打越 晶,3379,総合,5885,1374,1331,1014,929,672,531,13,19,4,8,0,0,5,3
