name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
鈴木 詔子,2988,女子戦,1012,55,4.42,5.4,19.4,39.8,0.27,4.1
鈴木 詔子,2988,混合戦,1108,39,3.45,3.5,11.4,25.0,0.26,4.2
