name,regno,コース,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ
前本 泰和,3573,1 コース,1670,1140,1091,1,1,0,46,1
前本 泰和,3573,2 コース,1476,504,0,294,142,0,58,10
前本 泰和,3573,3 コース,1382,342,0,52,144,101,42,3
前本 泰和,3573,4 コース,1220,226,0,50,82,59,33,2
前本 泰和,3573,5 コース,567,47,0,13,5,18,11,0
前本 泰和,3573,6 コース,248,7,0,3,0,2,1,1
