name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
後藤 美翼,4680,女子戦,1564,165,4.97,10.5,27.0,48.2,0.2,3.7
後藤 美翼,4680,混合戦,504,22,3.52,4.3,12.7,27.5,0.21,3.9
