name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
濱村 美鹿子,3733,女子戦,2112,649,6.99,30.7,58.9,75.0,0.19,2.9
濱村 美鹿子,3733,混合戦,1033,183,5.81,17.7,37.5,56.7,0.2,3.3
