name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
中村 尊,4090,1 コース,879,506,57.5,74.9,82.4,0.14,2.4
中村 尊,4090,2 コース,752,143,19.0,47.3,63.5,0.15,2.8
中村 尊,4090,3 コース,886,203,22.9,43.6,62.7,0.13,2.3
中村 尊,4090,4 コース,916,177,19.3,37.9,58.5,0.14,2.6
中村 尊,4090,5 コース,971,107,11.0,30.0,49.8,0.15,2.7
中村 尊,4090,6 コース,1164,61,5.2,18.9,36.5,0.16,3.0
