name,regno,艇番,出走数,1着数,1着率,2連対率,3連対率,優出,優勝
矢崎 誠一,3404,1 号艇,669,155,23.1,37.3,51.5,1,0
矢崎 誠一,3404,2 号艇,750,98,13.0,27.3,42.2,0,0
矢崎 誠一,3404,3 号艇,744,76,10.2,22.4,36.8,1,0
矢崎 誠一,3404,4 号艇,672,69,10.2,20.3,36.0,2,0
矢崎 誠一,3404,5 号艇,703,56,7.9,17.7,31.4,1,0
矢崎 誠一,3404,6 号艇,654,44,6.7,13.3,24.6,5,0
