name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
大山 博美,3317,女子戦,2528,447,5.58,17.6,35.4,54.8,0.21,3.3
大山 博美,3317,混合戦,1921,208,4.72,10.8,25.1,44.6,0.2,3.3
