name,regno,場,出場節数,出走数,1着数,勝率,1着率,2連対率,3連対率,優出,優勝,平均ST
浅井 翼,5315,桐生,3,24,0,1.54,0.0,0.0,4.1,0,0,0.17
浅井 翼,5315,戸田,9,59,1,1.76,1.6,3.3,5.0,0,0,0.18
浅井 翼,5315,江戸川,7,54,3,2.78,5.5,11.1,20.3,0,0,0.18
浅井 翼,5315,平和島,5,40,2,1.93,5.0,5.0,10.0,0,0,0.18
浅井 翼,5315,多摩川,4,25,0,1.68,0.0,0.0,0.0,0,0,0.18
浅井 翼,5315,浜名湖,2,17,0,1.82,0.0,0.0,0.0,0,0,0.2
浅井 翼,5315,蒲郡,1,9,1,1.78,11.1,11.1,11.1,0,0,0.16
浅井 翼,5315,常滑,4,27,0,1.59,0.0,3.7,3.7,0,0,0.19
浅井 翼,5315,津,2,14,0,1.14,0.0,0.0,0.0,0,0,0.24
浅井 翼,5315,三国,1,9,0,2.33,0.0,11.1,11.1,0,0,0.16
浅井 翼,5315,びわこ,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,住之江,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,尼崎,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,鳴門,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,丸亀,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,児島,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,宮島,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,徳山,1,7,0,2.57,0.0,0.0,14.2,0,0,0.14
浅井 翼,5315,下関,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,若松,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,芦屋,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,福岡,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,唐津,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
浅井 翼,5315,大村,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
