name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
小杉 志津江,3446,女子戦,1717,113,4.33,6.5,21.5,38.3,0.23,3.7
小杉 志津江,3446,混合戦,1197,61,3.61,5.1,13.7,28.0,0.23,3.9
