name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
藤川 利文,4250,1 コース,408,96,23.5,42.6,57.1,0.18,3.1
藤川 利文,4250,2 コース,486,57,11.7,31.0,47.9,0.19,3.5
藤川 利文,4250,3 コース,535,41,7.6,23.9,43.7,0.18,3.3
藤川 利文,4250,4 コース,526,38,7.2,21.8,37.0,0.2,3.8
藤川 利文,4250,5 コース,716,41,5.7,17.6,30.8,0.2,3.9
藤川 利文,4250,6 コース,748,12,1.6,8.2,20.9,0.22,4.4
