name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
池田 紫乃,3871,女子戦,3481,610,5.55,17.5,38.2,55.9,0.2,3.5
池田 紫乃,3871,混合戦,1412,119,4.04,8.4,21.8,35.4,0.21,3.7
