name,regno,コース,出走数,1着数,1着率,2連対率,3連対率,平均ST,平均ST順
森 實,2198,1 コース,525,85,16.1,39.8,57.5,0.23,3.6
森 實,2198,2 コース,518,53,10.2,30.5,52.1,0.22,3.7
森 實,2198,3 コース,433,24,5.5,19.8,41.5,0.23,4.0
森 實,2198,4 コース,333,14,4.2,17.4,34.8,0.26,4.5
森 實,2198,5 コース,244,4,1.6,11.8,29.5,0.26,4.4
森 實,2198,6 コース,194,2,1.0,4.6,15.9,0.27,4.8
