name,regno,レース,出走数,1着数,勝率,1着率,2連対率,3連対率,平均ST,平均ST順
越智 宣恵,3389,女子戦,790,126,4.88,15.9,29.3,45.4,0.21,2.9
越智 宣恵,3389,混合戦,375,52,4.45,13.8,25.0,41.8,0.21,2.6
